item1,item6,item10,item7,item2,item9,item5,money,order,bangding,des,item3,name,bindgold,id,item4,item8
xuechi;1,feixie;10,,zq30;1,lanchi;1,,jinjiedan001;2,,g1,1,"天宫豪华大礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1,，筋斗云*10，坐骑进阶丹*2，30级坐骑装备（随机）*1",fuhuo;2,天宫豪华大礼包,,g001,expfold_002;1,,
xuechi;1,huicheng;5,,,lanchi;1,,qianghuashi;10,,g2,1,大闹天宫新手卡：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5,fuhuo;2,大闹天宫新手卡,,g002,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g3,1,hao123专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,hao123专属礼包,,g003,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g4,1,07073专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,07073专属礼包,,g004,expfold_002;1,,
xuechi;1,huicheng;5,,gongsudan;1,lanchi;1,,qianghuashi;10,,g5,1,265G专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,265g专属礼包,,g005,expfold_002;1,,
xuechi;1,huicheng;5,,zq30;1,lanchi;1,,qianghuashi;10,,g6,1,17173专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，30级坐骑装备（随机）*1,fuhuo;2,17173专属礼包,,g006,expfold_002;1,,
xuechi;1,huicheng;5,,zhenqipill_00002;10,lanchi;1,,qianghuashi;10,,g7,1,cwan专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，小灵气丹*10,fuhuo;2,cwan专属礼包,,g007,expfold_002;1,,
xuechi;2,huicheng;5,,bscl;10,lanchi;1,,qianghuashi;10,,g8,1,多玩专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，宝石精华*10,fuhuo;2,多玩专属礼包,,g008,expfold_002;1,,
xuechi;3,huicheng;5,,jinjieshi;5,lanchi;1,,qianghuashi;10,,g9,1,福利平台专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，进阶石*5,fuhuo;2,福利平台专属礼包,,g009,expfold_002;1,,
silver10;1,,,,,,,,g10,1,,,10礼金码,,g010,,,
silver50;1,,,,,,,,g11,1,,,50礼金码,,g011,,,
silver100;1,,,,,,,,g12,1,,,100礼金码,,g012,,,
silver1000;1,,,,,,,,g13,1,,,1000礼金码,,g013,,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g14,1,开服网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,开服网专属礼包,,g014,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g15,1,电玩巴士专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,电玩巴士专属礼包,,g015,expfold_002;1,,
xuechi;1,huicheng;5,,gongsudan;1,lanchi;1,,qianghuashi;10,,g16,1,40407专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,40407专属礼包,,g016,expfold_002;1,,
xuechi;1,huicheng;5,,zq30;1,lanchi;1,,qianghuashi;10,,g17,1,一游网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，30级坐骑装备（随机）*1,fuhuo;2,一游网专属礼包,,g017,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g18,1,大闹天宫OL媒体普发新手卡：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,大闹天宫OL媒体普发新手卡,,g018,expfold_002;1,,
xuechi;1,huicheng;5,,zq30;1,lanchi;1,,qianghuashi;10,,g19,1,大闹天宫OL贵宾礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，30级坐骑装备（随机）*1,fuhuo;2,大闹天宫OL贵宾礼包,,g019,expfold_002;1,,
xuechi;2,bscl;20,,jinjieshi;10,lanchi;2,,qianghuashi;20,,g20,1,《大闹天宫OL》1888元大礼包：补血丹*2，聚灵丹*2，玫瑰*5，双倍经验丹*2，装备强化石*20，宝石精华*20，进阶石*10，筋斗云*20,fuhuo;5,《大闹天宫OL》1888元大礼包,,g020,expfold_002;2,feixie;20,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g21,1,百度贴吧独家专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,百度贴吧独家专属礼包,,g021,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g22,1,hao123独家专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,hao123独家专属礼包,,g022,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g23,1,新浪专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5,fuhuo;2,新浪专属礼包,,g023,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g24,1,太平洋游戏专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,太平洋游戏专属礼包,,g024,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g25,1,52PK专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,52PK专属礼包,,g025,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g26,1,彩云网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,彩云网专属礼包,,g026,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g27,1,766专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5,fuhuo;2,766专属礼包,,g027,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g28,1,969G专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,969G专属礼包,,g028,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g29,1,百度成就礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,百度成就礼包,,g029,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g30,1,百度贴吧专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,百度贴吧专属礼包,,g030,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g31,1,百度游戏微信专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,百度游戏微信专属礼包,,g031,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g32,1,中华网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,中华网专属礼包,,g032,expfold_002;1,,
xuechi;2,bscl;20,,jinjieshi;10,lanchi;2,,qianghuashi;20,,g33,1,大闹天宫西游情节礼包：补血丹*2，聚灵丹*2，玫瑰*5，双倍经验丹*2，装备强化石*20，宝石精华*20，进阶石*10，筋斗云*20,fuhuo;5,大闹天宫西游情节礼包,,g033,expfold_002;2,feixie;20,
xuechi;1,zhenqipill_001;10,,,lanchi;1,,huicheng;5,,g34,1,媒体礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*10,fuhuo;2,媒体礼包,,g034,qianghuashi;5,,
xuechi;1,huicheng;5,,zhenqipill_00002;10,lanchi;1,,qianghuashi;10,,g35,1,cwan9月5日大推礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，小灵气丹*10,fuhuo;2,cwan9月5日大推礼包,,g035,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g36,1,百度游戏中秋大礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,百度游戏中秋大礼包,,g036,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g37,1,40407特权礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,40407特权礼包,,g037,expfold_002;1,,
xuechi;1,,,,lanchi;1,,huicheng;5,,g38,1,新手卡：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5,fuhuo;2,新手卡,,g038,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g39,1,媒体卡1：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,媒体卡1,,g039,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g40,1,媒体卡2：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,媒体卡2,,g040,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g41,1,媒体卡3：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,媒体卡3,,g041,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g42,1,媒体卡4：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,媒体卡4,,g042,qianghuashi;5,,
xuechi;1,zhenqipill_001;10,,,lanchi;1,,huicheng;5,,g43,1,页游网特权礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*10,fuhuo;2,页游网特权礼包,,g043,qianghuashi;5,,
xuechi;1,shengming2;1,,,lanchi;1,,huicheng;5,,g44,1,07073特权礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，生命药水（中）*1,fuhuo;2,07073特权礼包,,g044,qianghuashi;5,,
xuechi;1,bscl;10,,,lanchi;1,,huicheng;5,,g45,1,265G特权礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，宝石精华*10,fuhuo;2,265G特权礼包,,g045,qianghuashi;5,,
xuechi;1,,,,lanchi;1,,huicheng;5,,g46,1,yy新手卡：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5,fuhuo;2,yy新手卡,,g046,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g47,1,公民卡：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,公民卡,,g047,qianghuashi;5,,
xuechi;2,zhenqipill_001;5,,bscl;5,lanchi;2,,huicheng;7,,g48,1,皇室卡：补血丹*2，聚灵丹*2，玫瑰*5，装备强化石*5，回城*7，小型灵气丹*5，宝石精华*5,fuhuo;5,皇室卡,,g048,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g49,1,百度游戏大全专属大礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,百度游戏大全专属大礼包,,g049,qianghuashi;5,,
xuechi;2,zhenqipill_001;5,,bscl;5,lanchi;2,,huicheng;7,,g50,1,37wan国庆礼包：补血丹*2，聚灵丹*2，玫瑰*5，装备强化石*5，回城*7，小型灵气丹*5，宝石精华*5,fuhuo;5,37wan国庆礼包,,g050,qianghuashi;5,,
xuechi;1,,,,lanchi;1,,huicheng;5,,g51,1,大闹天宫尊贵礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5,fuhuo;2,大闹天宫尊贵礼包,,g051,qianghuashi;5,,
xuechi;1,zhenqipill_001;2,,,lanchi;1,,huicheng;5,,g52,1,大闹天宫珍贵礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*2,fuhuo;2,大闹天宫珍贵礼包,,g052,qianghuashi;5,,
xuechi;2,zhenqipill_001;5,,bscl;5,lanchi;2,,huicheng;7,,g53,1,大闹天宫豪华礼包：补血丹*2，聚灵丹*2，玫瑰*5，装备强化石*5，回城*7，小型灵气丹*5，宝石精华*5,fuhuo;5,大闹天宫豪华礼包,,g053,qianghuashi;5,,
xuechi;3,zhenqipill_001;7,,bscl;7,lanchi;3,,huicheng;8,,g54,1,大闹天宫奢华礼包：补血丹*3，聚灵丹*3，玫瑰*6，装备强化石*6，回城*8，小型灵气丹*7，宝石精华*7，筋斗云*5,fuhuo;6,大闹天宫奢华礼包,,g054,qianghuashi;6,feixie;5,
xuechi;1,zhenqipill_001;10,,,lanchi;1,,huicheng;5,,g55,1,西游神威礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*10,fuhuo;2,西游神威礼包,,g055,qianghuashi;5,,
xuechi;1,shengming2;1,,,lanchi;1,,huicheng;5,,g56,1,西游先锋礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，生命药水（中）*1,fuhuo;2,西游先锋礼包,,g056,qianghuashi;5,,
xuechi;1,bscl;10,,,lanchi;1,,huicheng;5,,g57,1,西游金刚礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，宝石精华*10,fuhuo;2,西游金刚礼包,,g057,qianghuashi;5,,
xuechi;1,zhenqipill_001;10,,,lanchi;1,,huicheng;5,,g58,1,媒体卡礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*10,fuhuo;2,媒体卡礼包,,g058,qianghuashi;5,,
xuechi;1,shengming2;1,,,lanchi;1,,huicheng;5,,g59,1,至尊礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，生命药水（中）*1,fuhuo;2,至尊礼包,,g059,qianghuashi;5,,
xuechi;1,shengming2;1,,bscl;10,lanchi;1,,huicheng;5,,g60,1,钻石礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，生命药水（中）*1，宝石精华*10,fuhuo;2,钻石礼包,,g060,qianghuashi;5,,
xuechi;1,shengming2;1,,bscl;5,lanchi;1,,huicheng;5,,g61,1,37wan国庆礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，生命药水（中）*1，宝石精华*5,fuhuo;2,37wan国庆礼包,,g061,qianghuashi;5,,
xuechi;2,bscl;10,sb_001;1,sm_001;1,lanchi;2,fy_001;1,huicheng;5,,g62,1,贵宾召回卡：补血丹*2，聚灵丹*2，玫瑰*2，装备强化石*5，回城*5，宝石精华*10，青龙丹*1，朱雀丹*1，玄武丹*1，白虎丹*1,fuhuo;2,贵宾召回卡,,g062,qianghuashi;5,gj_001;1,
xuechi;1,,,,lanchi;1,,huicheng;5,,g63,1,Q群礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，回城*5,fuhuo;2,Q群礼包,,g063,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g64,1,活动礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,活动礼包,,g064,expfold_002;1,,
xuechi;2,bscl;10,sb_001;1,sm_001;1,lanchi;2,fy_001;1,huicheng;5,,g65,1,大户礼包：补血丹*2，聚灵丹*2，玫瑰*2，装备强化石*5，回城*5，宝石精华*10，青龙丹*1，朱雀丹*1，玄武丹*1，白虎丹*1,fuhuo;2,大户礼包,,g065,qianghuashi;5,gj_001;1,
xuechi;1,,,,lanchi;1,,huicheng;5,,g66,1,37wan微信礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5,fuhuo;2,37wan微信礼包,,g066,qianghuashi;5,,
xuechi;1,zhenqipill_001;10,,,lanchi;1,,huicheng;5,,g67,1,百度币大礼包：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*10,fuhuo;2,百度币大礼包,,g067,qianghuashi;5,,
xuechi;1,,,,lanchi;1,,fangyu3;4,,g68,,37wan礼包1：补血丹*1，聚灵丹*1，玫瑰*2，防御药水（大）*4，回城*5,fuhuo;2,37wan礼包1,,g068,huicheng;5,,
xuechi;1,shengming3;4,,,lanchi;1,,zhenqipill_002;2,,g69,,37wan礼包2：补血丹*1，聚灵丹*1，玫瑰*2，生命药水（大）*4，回城*5，中型灵气丹*2,fuhuo;2,37wan礼包2,,g069,huicheng;5,,
xuechi;1,zhenqipill_001;3,,,lanchi;1,,qianghuashi;5,,g70,,37wan礼包3：补血丹*1，聚灵丹*1，玫瑰*2，装备强化石*5，回城*5，小型灵气丹*3,fuhuo;2,37wan礼包3,,g070,huicheng;5,,
xuechi;1,zhenqipill_001;3,,,lanchi;1,,bscl;10,,g71,,37wan礼包4：补血丹*1，聚灵丹*1，玫瑰*2，宝石精华*10，回城*5，小型灵气丹*3,fuhuo;2,37wan礼包4,,g071,huicheng;5,,
xuechi;1,gongji3;4,,,lanchi;1,,zhenqipill_002;2,,g72,,37wan礼包5：补血丹*1，聚灵丹*1，玫瑰*2，攻击药水（大）*4，回城*5，中型灵气丹*2,fuhuo;2,37wan礼包5,,g072,huicheng;5,,
